iter	Logloss
0	0.6801650565
1	0.6679507518
2	0.657168044
3	0.6464493492
4	0.6346980881
5	0.6257577407
6	0.6139118905
7	0.603445552
8	0.5909956419
9	0.5817447258
10	0.5735148974
11	0.5641609918
12	0.5551505186
13	0.5464422264
14	0.5378135463
15	0.529209585
16	0.5216417937
17	0.5134336439
18	0.5052679405
19	0.4965149162
20	0.4899989503
21	0.4821320567
22	0.4730059681
23	0.4663484049
24	0.4586420385
25	0.4512327434
26	0.4437253419
27	0.4377867251
28	0.4307585919
29	0.4243779563
30	0.4174718365
31	0.4116484778
32	0.4061160578
33	0.4004828788
34	0.3940356781
35	0.3881519375
36	0.3818757167
37	0.3775095234
38	0.3711157714
39	0.3659775683
40	0.3615954121
41	0.3562649974
42	0.3512784647
43	0.3468565307
44	0.342149458
45	0.3373528677
46	0.3333425348
47	0.3278325657
48	0.3239698365
49	0.320474737
50	0.3162555699
51	0.3121276819
52	0.3085096495
53	0.3045062247
54	0.3009628631
55	0.297416337
56	0.2939679288
57	0.2903526934
58	0.2863650073
59	0.2826993477
60	0.2788630119
61	0.2752001777
62	0.2717327981
63	0.2681939534
64	0.2653120766
65	0.2623437276
66	0.259270337
67	0.2557397618
68	0.2530255698
69	0.2502261459
70	0.2466512519
71	0.2439528872
72	0.240882391
73	0.238428399
74	0.2352654903
75	0.2323996496
76	0.2296328523
77	0.2271473325
78	0.2247515846
79	0.2228159107
80	0.2200699434
81	0.2174405004
82	0.2146147922
83	0.2123151883
84	0.2103548272
85	0.2076675162
86	0.2056651729
87	0.2035202884
88	0.2014103014
89	0.1998671995
90	0.197703889
91	0.1951252639
92	0.1929775737
93	0.1906384228
94	0.1888138498
95	0.1868999704
96	0.185720373
97	0.1837463294
98	0.1819844167
99	0.1801292295
100	0.1784054723
101	0.1764705012
102	0.1751226109
103	0.1733224612
104	0.17154604
105	0.1695920822
106	0.1680577371
107	0.1666688986
108	0.1654137515
109	0.1641097067
110	0.1628326946
111	0.1609679464
112	0.1598388896
113	0.1581915001
114	0.1570133379
115	0.1554975139
116	0.1540621713
117	0.152751839
118	0.1511948332
119	0.1500441886
120	0.1487578647
121	0.1475653406
122	0.1463817818
123	0.1456489017
124	0.1445888214
125	0.1435808876
126	0.1426794614
127	0.1415912064
128	0.1402879513
129	0.1389185794
130	0.1379679066
131	0.1369629092
132	0.1356904993
133	0.134664582
134	0.1338098514
135	0.1329487515
136	0.1316674539
137	0.1306112048
138	0.1294216058
139	0.128400294
140	0.127075743
141	0.1259422208
142	0.1248481061
143	0.1239257238
144	0.1230944171
145	0.122176019
146	0.121318367
147	0.120386796
148	0.1197739037
149	0.118853143
150	0.1181137223
151	0.1171636911
152	0.1163493319
153	0.115669097
154	0.1147235444
155	0.113960437
156	0.1131164727
157	0.1123125757
158	0.1116097436
159	0.1110209056
160	0.1103512821
161	0.1097359353
162	0.1090639976
163	0.1083433668
164	0.1073489242
165	0.1065620019
166	0.1060001154
167	0.1053789464
168	0.1046984987
169	0.1041810234
170	0.1035139292
171	0.1026572686
172	0.1020321712
173	0.1013596717
174	0.1009437327
175	0.1002250153
176	0.09966823981
177	0.09891188114
178	0.09814143986
179	0.09758083403
180	0.09703422585
181	0.09659417039
182	0.09609765663
183	0.09544254067
184	0.09466163434
185	0.09423276215
186	0.09375041934
187	0.09299332218
188	0.09241030339
189	0.09161783352
190	0.09103157343
191	0.09053277892
192	0.09006575655
193	0.08963418524
194	0.08904604024
195	0.08849427708
196	0.08790887874
197	0.08729224908
198	0.08686131047
199	0.0863608293
200	0.08598265111
201	0.08550214815
202	0.08493171724
203	0.08445639481
204	0.08409851822
205	0.08359860377
206	0.08312782321
207	0.08265617681
208	0.08231919661
209	0.08181112251
210	0.08137815677
211	0.08095784021
212	0.08048333924
213	0.07998126028
214	0.07947420938
215	0.07902645628
216	0.07858558074
217	0.07813549772
218	0.07771414858
219	0.07729515469
220	0.07708062134
221	0.07671495543
222	0.07620073075
223	0.07574186735
224	0.0754385656
225	0.07507446028
226	0.0746919016
227	0.07423547758
228	0.07370353068
229	0.07326136601
230	0.0729489412
231	0.07267801034
232	0.07234620103
233	0.07202792177
234	0.07155986119
235	0.0712517947
236	0.07090951761
237	0.07047484014
238	0.07020795381
239	0.06973623041
240	0.06922643525
241	0.0689483238
242	0.06874407251
243	0.06843735971
244	0.068045333
245	0.06760559819
246	0.06725272904
247	0.06699267654
248	0.0666089786
249	0.06628213013
250	0.06610254597
251	0.06572085115
252	0.06547619379
253	0.06509318263
254	0.0648108977
255	0.06447260356
256	0.06402384022
257	0.06373696768
258	0.0634023941
259	0.06313109662
260	0.06279720347
261	0.06242304688
262	0.06213361361
263	0.06197546726
264	0.06172527233
265	0.06140194918
266	0.06109483851
267	0.0607265723
268	0.06034747602
269	0.05998372294
270	0.05977188815
271	0.05944475061
272	0.05927190223
273	0.05890644352
274	0.05864869309
275	0.05834488645
276	0.05802960013
277	0.05771397659
278	0.05745533855
279	0.05717412504
280	0.05698686086
281	0.05680033838
282	0.05656943341
283	0.05628520886
284	0.0560450555
285	0.05581219679
286	0.05563100608
287	0.0553761006
288	0.05513586206
289	0.05486474915
290	0.05470281281
291	0.05451380318
292	0.05426249397
293	0.05398182207
294	0.05373449904
295	0.05346329475
296	0.05328332091
297	0.05308013603
298	0.05284734643
299	0.05260268827
300	0.05238603052
301	0.0522333868
302	0.05200393369
303	0.05182290641
304	0.05157274035
305	0.05140311636
306	0.05121670545
307	0.05106179805
308	0.05082066581
309	0.05059524106
310	0.05043266206
311	0.0502934794
312	0.05014100712
313	0.04998586712
314	0.04985114936
315	0.04969364581
316	0.04950205166
317	0.04930548859
318	0.04914518602
319	0.04901928704
320	0.04880011285
321	0.04865135704
322	0.04851251636
323	0.04838022245
324	0.04815995106
325	0.04795597993
326	0.04775914915
327	0.04759479528
328	0.04740043289
329	0.04720330768
330	0.04703625382
331	0.04689295453
332	0.04663290212
333	0.04649437954
334	0.04637045427
335	0.04622469527
336	0.04612498761
337	0.04599824203
338	0.04586629966
339	0.0457056777
340	0.04549930829
341	0.0453102926
342	0.04518309269
343	0.04499199681
344	0.04481936665
345	0.0446971073
346	0.04453283413
347	0.04442501764
348	0.04431166347
349	0.04414548006
350	0.04394834642
351	0.04378372774
352	0.04355527985
353	0.04341675272
354	0.04327528394
355	0.04304695349
356	0.04289069333
357	0.04268409033
358	0.04249181702
359	0.04237901106
360	0.0421952334
361	0.04206769328
362	0.04193898185
363	0.0417903244
364	0.04168960524
365	0.04152240321
366	0.04138803103
367	0.04125513939
368	0.04116620462
369	0.04103235957
370	0.04084666741
371	0.0407206299
372	0.04058219741
373	0.04045258005
374	0.04031423668
375	0.04019659326
376	0.04002272906
377	0.0398886932
378	0.03972696725
379	0.03960381104
380	0.03949195028
381	0.03937620258
382	0.03918250665
383	0.03904905454
384	0.03889920566
385	0.03870739582
386	0.03852327344
387	0.03839178479
388	0.03833681258
389	0.03823590031
390	0.03807561414
391	0.03791230195
392	0.03777937051
393	0.03767844757
394	0.03749491122
395	0.03734956168
396	0.03729782718
397	0.03722545225
398	0.03707727503
399	0.03701633014
400	0.03692843977
401	0.0367958832
402	0.03669788045
403	0.03662129616
404	0.03651806166
405	0.0363926757
406	0.03619640756
407	0.03609645142
408	0.03601664676
409	0.03592211322
410	0.03582998303
411	0.03570997967
412	0.03558843701
413	0.03551655643
